hf (pretrained=/dss/dssmcmlfs01/pr74ze/pr74ze-dss-0001/ra95kix2/models/stack_7b_m1_prompt/checkpoint-6189,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: 8
|  Tasks   |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|----------|------:|------|-----:|--------|---|-----:|---|-----:|
|boolq     |      2|none  |     0|acc     |↑  |0.5685|±  |0.0087|
|hellaswag |      1|none  |     0|acc     |↑  |0.4596|±  |0.0050|
|          |       |none  |     0|acc_norm|↑  |0.5891|±  |0.0049|
|mathqa    |      1|none  |     0|acc     |↑  |0.2338|±  |0.0077|
|          |       |none  |     0|acc_norm|↑  |0.2402|±  |0.0078|
|mutual    |      2|none  |     0|mrr     |↑  |0.6578|±  |0.0104|
|          |       |none  |     0|r@1     |↑  |0.2257|±  |0.0141|
|          |       |none  |     0|r@2     |↑  |0.4165|±  |0.0166|
|piqa      |      1|none  |     0|acc     |↑  |0.7024|±  |0.0107|
|          |       |none  |     0|acc_norm|↑  |0.7220|±  |0.0105|
|winogrande|      1|none  |     0|acc     |↑  |0.5951|±  |0.0138|


LLM_7B_300BToken
| Tasks      | Version | Filter | n-shot | Metric    |   | Value  |   | Stderr  |
|------------|---------|--------|--------|-----------|---|--------|---|---------|
| boolq      | ?       | none   | 0      | acc       | ↑ | 0.6235 | ± | 0.0085  |
| hellaswag  | ?       | none   | 0      | acc       | ↑ | 0.4796 | ± | 0.0050  |
|            |         | none   | 0      | acc_norm  | ↑ | 0.6373 | ± | 0.0048  |
| mathqa     | ?       | none   | 0      | acc       | ↑ | 0.2335 | ± | 0.0077  |
|            |         | none   | 0      | acc_norm  | ↑ | 0.2295 | ± | 0.0077  |
| mutual     | ?       | none   | 0      | r@1       | ↑ | 0.2257 | ± | 0.0141  |
|            |         | none   | 0      | r@2       | ↑ | 0.4334 | ± | 0.0167  |
|            |         | none   | 0      | mrr       | ↑ | 0.6723 | ± | 0.0104  |
| piqa       | ?       | none   | 0      | acc       | ↑ | 0.7432 | ± | 0.0102  |
|            |         | none   | 0      | acc_norm  | ↑ | 0.7546 | ± | 0.0100  |
| winogrande | ?       | none   | 0      | acc       | ↑ | 0.6093 | ± | 0.0137  |


hf (pretrained=/dss/dssmcmlfs01/pr74ze/pr74ze-dss-0001/ra95kix2/models/llm_7b_m1_prompt/checkpoint-6189,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: 8
|  Tasks   |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|----------|------:|------|-----:|--------|---|-----:|---|-----:|
|boolq     |      2|none  |     0|acc     |↑  |0.4765|±  |0.0087|
|hellaswag |      1|none  |     0|acc     |↑  |0.4268|±  |0.0049|
|          |       |none  |     0|acc_norm|↑  |0.5389|±  |0.0050|
|mathqa    |      1|none  |     0|acc     |↑  |0.2392|±  |0.0078|
|          |       |none  |     0|acc_norm|↑  |0.2315|±  |0.0077|
|mutual    |      2|none  |     0|mrr     |↑  |0.6502|±  |0.0105|
|          |       |none  |     0|r@1     |↑  |0.2257|±  |0.0141|
|          |       |none  |     0|r@2     |↑  |0.4165|±  |0.0166|
|piqa      |      1|none  |     0|acc     |↑  |0.6964|±  |0.0107|
|          |       |none  |     0|acc_norm|↑  |0.6959|±  |0.0107|
|winogrande|      1|none  |     0|acc     |↑  |0.5604|±  |0.0139|

hf (pretrained=/dss/dssmcmlfs01/pr74ze/pr74ze-dss-0001/ra95kix2/models/llm_7b_m1_prompt/checkpoint-6189,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: 8
|     Tasks      |Version|Filter|n-shot|  Metric  |   | Value |   |Stderr|
|----------------|------:|------|-----:|----------|---|------:|---|-----:|
|arc_easy        |      1|none  |     0|acc       |↑  | 0.5274|±  |0.0102|
|                |       |none  |     0|acc_norm  |↑  | 0.4583|±  |0.0102|
|lambada_openai  |      1|none  |     0|acc       |↑  | 0.5207|±  |0.0070|
|                |       |none  |     0|perplexity|↓  |10.9522|±  |0.5294|
|lambada_standard|      1|none  |     0|acc       |↑  | 0.4380|±  |0.0069|
|                |       |none  |     0|perplexity|↓  |18.1437|±  |0.8499|

hf (pretrained=/dss/dssmcmlfs01/pr74ze/pr74ze-dss-0001/ra95kix2/models/llm_7b_m1_prompt/checkpoint-6189,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: 8
|Tasks|Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|-----|------:|------|-----:|------|---|-----:|---|-----:|
|race |      2|none  |     0|acc   |↑  |0.3254|±  |0.0145|

